088591ae-618f-4b76-95d4-b9a20183cd4d,8,الإسكندرية,الإسكندرية,881f82ad-03a6-45fa-9cc8-eac0386d45fd,turbo,t,t
00c9e522-b151-47ce-b3b4-3f64b4cd0d61,4,الدقهلية,الدقهلية,74ea3f4a-3231-4124-98eb-a6a036e287a0,turbo,t,t
a6e3fa25-acea-4fad-b43f-787e8c33433c,12,المنوفية,المنوفية,9e3c6b31-7c04-429e-badf-218172b3951b,turbo,t,t
1aeb18ef-ad95-4a75-85b6-5010e0d7afc8,6,المنيا,المنيا,4380d587-4a9d-4b28-8d0a-ae4d9867c16f,turbo,t,t
d221a240-2f39-4545-b034-4dfccad8c953,16,بني سويف,بني سويف,e5469fd7-03ed-419d-8b46-5eb6dbc4988d,turbo,t,t
46bfee63-26d8-455f-8d32-557b9fca2730,9,الغربية,الغربية,015695ef-7db8-4cf1-bcd3-a7233153fa1f,turbo,t,t
df555ebe-e041-4ad6-a21d-b9ff6882f999,13,كفر الشيخ,كفر الشيخ,1263c461-2e99-4255-8668-39db29a2c383,turbo,t,t
e1e74eef-9e3c-4042-bfdf-85b44bc8484d,15,قنا,قنا,2058b4dd-7578-4805-b5c5-a2a988d6b900,turbo,t,t
a3fba9ed-3901-4fd5-af0e-b65882bed4ca,18,دمياط,دمياط,f730f195-c70b-4146-8aea-a1c952e6ad47,turbo,t,t
5d3fb625-98f8-4884-98aa-67c357a27114,26,الوادي الجديد,الوادي الجديد,9e247458-32c4-4bc8-a6eb-2a3ba0e67eea,turbo,t,t
69970c83-b87c-4c8d-bd9f-ea4d910cb482,17,أسوان,أسوان,414ab722-54a3-4f3b-8c15-3a8d6052877a,turbo,t,t
3ef39cc5-ed7a-4c09-b53f-9b01c26cfb72,14,الفيوم,الفيوم,b7a85da0-14c4-4bf2-a87f-d6c4c0fcec0d,turbo,t,t
